ID	Startzeit	Fertigstellungszeit	E-Mail	Name	Aussprache	Aufwachsen	Lebensmittelpunkt	Alter
318	3.25.20 21:47:49	3.25.20 21:48:14	anonymous		karantäne	Schleswig-Holstein	Berlin	31-40
319	3.25.20 21:47:58	3.25.20 21:48:29	anonymous		karantäne	Schleswig-Holstein	Dänemark	41-50
320	3.25.20 21:57:35	3.25.20 21:58:12	anonymous		kwarantäne	Bayern	Bayern	18-30
321	3.25.20 22:02:37	3.25.20 22:03:40	anonymous		karantäne	Hamburg	Hamburg	41-50
322	3.25.20 22:05:31	3.25.20 22:05:55	anonymous		karantäne	Sachsen	Sachsen	Unter 18
323	3.25.20 22:15:53	3.25.20 22:16:31	anonymous		kwarantäne	Sachsen-Anhalt	Mecklenburg-Vorpommern	51-60
324	3.25.20 22:20:57	3.25.20 22:21:32	anonymous		karantäne	Niedersachsen	Niedersachsen	41-50
325	3.25.20 22:23:05	3.25.20 22:23:34	anonymous		karantäne	Sachsen	Baden-Württemberg	18-30
326	3.25.20 22:20:58	3.25.20 22:31:48	anonymous		karantäne	Niedersachsen	Bremen	31-40
327	3.25.20 22:31:15	3.25.20 22:32:19	anonymous		kwarantäne	Großbritannien	Großbritannien	51-60
328	3.25.20 22:32:35	3.25.20 22:34:46	anonymous		kwarantäne	Mecklenburg-Vorpommern	Sachsen	Unter 18
329	3.25.20 22:36:22	3.25.20 22:36:50	anonymous		kwarantäne	Baden-Württemberg	Baden-Württemberg	31-40
330	3.25.20 22:43:31	3.25.20 22:44:20	anonymous		karantäne	Österreich	Österreich	41-50
331	3.25.20 22:25:53	3.25.20 22:51:13	anonymous		karantäne	Nordrhein-Westfalen	Berlin	18-30
332	3.25.20 22:51:41	3.25.20 22:52:21	anonymous		kwarantäne	Bayern	Nordrhein-Westfalen	31-40
333	3.25.20 22:55:08	3.25.20 22:55:22	anonymous		kwarantäne	Bayern	Bayern	18-30
334	3.25.20 22:55:47	3.25.20 22:56:35	anonymous		kwarantäne	Berlin	Hessen	31-40
335	3.25.20 22:58:00	3.25.20 22:58:24	anonymous		karantäne	Nordrhein-Westfalen	Spanien	31-40
336	3.25.20 23:00:26	3.25.20 23:00:52	anonymous		kwarantäne	Sachsen-Anhalt	Sachsen	31-40
337	3.25.20 23:04:57	3.25.20 23:05:39	anonymous		kwarantäne	Österreich Niederösterreich	Wien	31-40
338	3.25.20 23:07:31	3.25.20 23:07:55	anonymous		karantäne	Bremen	Hessen	31-40
339	3.25.20 23:10:39	3.25.20 23:12:04	anonymous		karantäne	Hessen	Schweiz 	31-40
340	3.25.20 23:15:56	3.25.20 23:16:28	anonymous		kwarantäne	Bayern	Bayern	31-40
341	3.25.20 23:16:53	3.25.20 23:17:46	anonymous		karantäne	Brandenburg	Brandenburg	18-30
342	3.25.20 23:18:54	3.25.20 23:20:18	anonymous		kwarantäne	Brandenburg	Brandenburg	61-70
343	3.25.20 23:20:55	3.25.20 23:23:53	anonymous		kwarantäne	Brandenburg	Brandenburg	71-80
344	3.25.20 23:23:16	3.25.20 23:24:12	anonymous		karantäne	Thüringen	Schweden	18-30
345	3.25.20 23:28:23	3.25.20 23:28:44	anonymous		karantäne	Schleswig-Holstein	Schleswig-Holstein	18-30
346	3.25.20 23:57:42	3.25.20 23:58:11	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	31-40
347	3.26.20 0:04:14	3.26.20 0:05:13	anonymous		karantäne	Russland	Hessen	61-70
348	3.26.20 0:09:39	3.26.20 0:11:19	anonymous		kwarantäne	Sachsen	Sachsen	61-70
349	3.26.20 0:24:19	3.26.20 0:25:06	anonymous		karantäne	Saarland	Saarland	41-50
350	3.26.20 0:32:00	3.26.20 0:32:26	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	18-30
351	3.26.20 0:41:36	3.26.20 0:42:06	anonymous		karantäne	Niedersachsen	Nordrhein-Westfalen	18-30
352	3.26.20 0:47:54	3.26.20 0:48:57	anonymous		karantäne	Bayern	Bayern	41-50
353	3.26.20 0:49:03	3.26.20 0:50:45	anonymous		karantäne	Schweiz	Gr	51-60
354	3.26.20 1:00:57	3.26.20 1:01:13	anonymous		karantäne	Baden-Württemberg	Baden-Württemberg	18-30
355	3.26.20 2:05:28	3.26.20 2:05:48	anonymous		karantäne	Sachsen	Sachsen	18-30
356	3.26.20 2:27:04	3.26.20 2:27:39	anonymous		karantäne	Hessen	Hessen	31-40
357	3.26.20 6:53:35	3.26.20 6:55:42	anonymous		karantäne	Oberösterreich 	Wien	41-50
358	3.26.20 7:55:47	3.26.20 7:56:42	anonymous		karantäne	Sachsen	Sachsen	18-30
359	3.26.20 7:57:28	3.26.20 7:58:27	anonymous		kwarantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	31-40
360	3.26.20 7:58:45	3.26.20 7:59:14	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	31-40
361	3.26.20 8:20:31	3.26.20 8:21:18	anonymous		kwarantäne	Österreich 	Österreich 	51-60
362	3.26.20 8:28:28	3.26.20 8:28:59	anonymous		karantäne	Mecklenburg-Vorpommern	Mecklenburg-Vorpommern	31-40
363	3.26.20 8:42:28	3.26.20 8:42:59	anonymous		kwarantäne	Thüringen	Bayern	31-40
364	3.26.20 8:42:58	3.26.20 8:43:45	anonymous		karantäne	Baden-Württemberg	Baden-Württemberg	31-40
365	3.26.20 9:21:36	3.26.20 9:22:10	anonymous		kwarantäne	Sachsen-Anhalt	Baden-Württemberg	51-60
366	3.26.20 9:44:58	3.26.20 9:45:20	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	31-40
367	3.26.20 10:01:24	3.26.20 10:01:59	anonymous		kwarantäne	Sachsen	Frankreich	18-30
368	3.26.20 10:01:49	3.26.20 10:04:41	anonymous		kwarantäne	Österreich	Österreich	31-40
369	3.26.20 10:04:40	3.26.20 10:05:00	anonymous		karantäne	Rheinland-Pfalz	Rheinland-Pfalz	18-30
370	3.26.20 10:05:32	3.26.20 10:06:25	anonymous		karantäne	Hamburg	Hamburg	31-40
371	3.26.20 10:15:17	3.26.20 10:15:52	anonymous		karantäne	Baden-Württemberg	Nordrhein-Westfalen	31-40
372	3.26.20 10:15:22	3.26.20 10:16:28	anonymous		karantene	Nordrhein-Westfalen	Nordrhein-Westfalen	31-40
373	3.26.20 10:16:05	3.26.20 10:16:30	anonymous		karantäne	Nordrhein-Westfalen	Niederlande	31-40
374	3.26.20 10:18:01	3.26.20 10:19:01	anonymous		karantäne	Niedersachsen	Bremen	31-40
375	3.26.20 10:19:33	3.26.20 10:20:06	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	18-30
376	3.26.20 10:24:36	3.26.20 10:26:17	anonymous		karantäne	Baden-Württemberg	Baden-Württemberg	31-40
377	3.26.20 10:31:35	3.26.20 10:32:05	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	18-30
378	3.26.20 10:34:35	3.26.20 10:34:55	anonymous		karantäne	Bayern	Bayern	51-60
379	3.26.20 10:50:54	3.26.20 10:51:24	anonymous		karantäne	Baden-Württemberg	Sachsen	Unter 18
380	3.26.20 10:57:10	3.26.20 10:58:02	anonymous		karantäne	Berlin	Sachsen	18-30
381	3.26.20 10:58:33	3.26.20 10:59:17	anonymous		karantäne	Sachsen	Sachsen	18-30
382	3.26.20 10:59:16	3.26.20 10:59:38	anonymous		kwarantäne	Sachsen	Sachsen	18-30
383	3.26.20 10:58:08	3.26.20 10:59:41	anonymous		karantäne	Niedersachsen	Niedersachsen	Unter 18
384	3.26.20 10:59:56	3.26.20 11:00:31	anonymous		karantäne	Thüringen	Sachsen	Unter 18
385	3.26.20 11:03:31	3.26.20 11:04:26	anonymous		kwarantäne	Sachsen	Sachsen	Unter 18
386	3.26.20 11:12:35	3.26.20 11:12:53	anonymous		karantäne	Sachsen	Sachsen	18-30
387	3.26.20 11:12:35	3.26.20 11:13:18	anonymous		kwarantäne	Sachsen	Sachsen	18-30
388	3.26.20 11:25:23	3.26.20 11:26:03	anonymous		karantäne	Sachsen	Sachsen	18-30
389	3.26.20 11:34:22	3.26.20 11:35:30	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	Unter 18
390	3.26.20 11:36:39	3.26.20 11:37:31	anonymous		karantäne	Hessen	Hessen	18-30
391	3.26.20 11:45:58	3.26.20 11:46:25	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	31-40
392	3.26.20 11:48:44	3.26.20 11:49:23	anonymous		kwarantäne	Sachsen	Sachsen	18-30
393	3.26.20 11:49:21	3.26.20 11:49:42	anonymous		kwarantäne	Sachsen	Sachsen	18-30
394	3.26.20 12:00:52	3.26.20 12:01:15	anonymous		kwarantäne	Baden-Württemberg	Baden-Württemberg	31-40
395	3.26.20 12:01:54	3.26.20 12:02:19	anonymous		kwarantäne	Nordrhein-Westfalen	Baden-Württemberg	31-40
396	3.26.20 12:06:14	3.26.20 12:06:59	anonymous		karantäne	Brandenburg	Sachsen	18-30
397	3.26.20 12:07:18	3.26.20 12:07:40	anonymous		kwarantäne	Schleswig-Holstein	Sachsen	18-30
398	3.26.20 12:08:11	3.26.20 12:08:31	anonymous		karantäne	Bayern	Bayern	31-40
399	3.26.20 12:16:27	3.26.20 12:17:10	anonymous		karantäne	Niedersachsen	Niedersachsen	18-30
400	3.26.20 12:19:49	3.26.20 12:20:33	anonymous		karantäne	Sachsen	Sachsen	18-30
401	3.26.20 12:26:26	3.26.20 12:26:59	anonymous		karantäne	Sachsen	Sachsen	18-30
402	3.26.20 12:35:23	3.26.20 12:35:47	anonymous		karantäne	Baden-Württemberg	Baden-Württemberg	18-30
403	3.26.20 12:38:55	3.26.20 12:39:30	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	41-50
404	3.26.20 12:40:50	3.26.20 12:42:01	anonymous		karantäne	Sachsen	Wales	31-40
405	3.26.20 12:54:59	3.26.20 12:55:32	anonymous		karantäne	Nordrhein-Westfalen	Schottland	31-40
406	3.26.20 13:00:38	3.26.20 13:01:15	anonymous		karantäne	Schweiz	Schweiz 	31-40
407	3.26.20 13:02:28	3.26.20 13:03:28	anonymous		karantäne	Baden-Württemberg	Baden-Württemberg	18-30
408	3.26.20 13:21:37	3.26.20 13:22:52	anonymous		karantäne	Baden-Württemberg	Baden-Württemberg	41-50
409	3.26.20 13:22:32	3.26.20 13:22:59	anonymous		karantäne	Niedersachsen	Niedersachsen	61-70
410	3.26.20 14:14:14	3.26.20 14:14:59	anonymous		kwarantäne	Sachsen	Sachsen	18-30
411	3.26.20 14:18:16	3.26.20 14:18:47	anonymous		karantäne	Niedersachsen	Niedersachsen	31-40
412	3.26.20 14:51:02	3.26.20 14:52:03	anonymous		kwarantäne	Sachsen	Sachsen	18-30
413	3.26.20 15:18:54	3.26.20 15:19:22	anonymous		kwarantäne	Berlin	Berlin	31-40
414	3.26.20 15:32:47	3.26.20 15:33:41	anonymous		karantäne	Sachsen	Sachsen	31-40
415	3.26.20 15:35:28	3.26.20 15:36:19	anonymous		kwarantäne	Sachsen	Sachsen	Unter 18
416	3.26.20 15:41:11	3.26.20 15:43:01	anonymous		kwarantäne	Schweiz	Schweiz 	41-50
417	3.26.20 15:57:25	3.26.20 15:58:08	anonymous		karantäne	Hessen	Berlin	18-30
418	3.26.20 17:01:48	3.26.20 17:02:16	anonymous		karantäne	Hessen	Hessen	18-30
419	3.26.20 17:11:55	3.26.20 17:12:25	anonymous		kwarantäne	Bayern	Großbritannien	41-50
420	3.26.20 17:19:10	3.26.20 17:19:40	anonymous		kwarantäne	Bayern	Schleswig-Holstein	41-50
421	3.26.20 17:19:59	3.26.20 17:21:16	anonymous		kwarantäne	ausland	Österreich	31-40
422	3.26.20 17:17:53	3.26.20 17:22:36	anonymous		karantäne	Baden-Württemberg	Hamburg	41-50
423	3.26.20 17:22:06	3.26.20 17:22:57	anonymous		karantäne	Niedersachsen	Schleswig-Holstein	31-40
424	3.26.20 17:26:31	3.26.20 17:27:16	anonymous		karantäne	Nordrhein-Westfalen	Berlin	41-50
425	3.26.20 17:27:12	3.26.20 17:27:42	anonymous		karantäne	Rheinland-Pfalz	Hessen	61-70
426	3.26.20 17:28:39	3.26.20 17:29:06	anonymous		kwarantäne	Rheinland-Pfalz	Schweiz	41-50
